Rank,Price,Notional Value,Trade Count,Trade Count (%),Volume,Volume (%)
1,$610.91,$1.55 M,45,2.44%,2.55 K,0.97%
2,$610.45,$6.11 M,34,1.85%,10.01 K,3.81%
3,$610.30,$1.98 M,29,1.58%,3.24 K,1.23%
4,$607.27,$1.01 M,9,0.49%,1.66 K,0.63%
5,$606.72,$725.64 K,28,1.52%,1.20 K,0.46%
6,$606.61,$868.06 K,34,1.85%,1.43 K,0.54%
7,$606.60,$779.48 K,29,1.58%,1.29 K,0.49%
8,$606.29,$754.83 K,28,1.52%,1.25 K,0.47%
9,$605.84,$885.74 K,20,1.09%,1.46 K,0.56%
10,$605.12,$873.19 K,11,0.60%,1.44 K,0.55%
11,$605,$1.87 M,16,0.87%,3.09 K,1.18%
12,$604.92,$892.26 K,10,0.54%,1.48 K,0.56%
13,$604.86,$1.26 M,14,0.76%,2.09 K,0.80%
14,$604.85,$2.23 M,12,0.65%,3.69 K,1.40%
15,$604.82,$1.42 M,16,0.87%,2.34 K,0.89%
16,$604.77,$863.01 K,29,1.58%,1.43 K,0.54%
17,$604.69,$1.02 M,28,1.52%,1.68 K,0.64%
18,$604.67,$969.29 K,50,2.72%,1.60 K,0.61%
19,$604.66,$6.39 M,41,2.23%,10.57 K,4.02%
20,$604.61,$1.24 M,22,1.20%,2.06 K,0.78%
21,$604.60,$1.04 M,31,1.68%,1.73 K,0.66%
22,$604.59,$973.99 K,33,1.79%,1.61 K,0.61%
23,$604.51,$812.46 K,32,1.74%,1.34 K,0.51%
24,$604.50,$787.06 K,34,1.85%,1.30 K,0.50%
25,$604.49,$1.04 M,28,1.52%,1.72 K,0.65%
26,$604.48,$788.24 K,20,1.09%,1.30 K,0.50%
27,$604.42,$1.21 M,27,1.47%,1.99 K,0.76%
28,$604.41,$1.27 M,37,2.01%,2.09 K,0.80%
29,$604.39,$801.42 K,25,1.36%,1.33 K,0.50%
30,$604.36,$1.44 M,36,1.96%,2.38 K,0.91%
31,$604.30,$2.68 M,68,3.69%,4.44 K,1.69%
32,$604.29,$1.95 M,43,2.34%,3.22 K,1.23%
33,$604.25,$4.66 M,38,2.06%,7.71 K,2.94%
34,$604.24,$803.64 K,40,2.17%,1.33 K,0.51%
35,$604.20,$1.02 M,36,1.96%,1.68 K,0.64%
